name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Ceramic","","https://icodrops.com/media/cache/f2/0f/f20f65ee8a3ed3c7321f3b92d279ff6a.webp","https://icodrops.com/ceramic/","Retrodrop","$30 M","—","Network","Active","","Jump Crypto","Multicoin Capital","Union Square Ventures","More Details","","","",""
"Obol Network","","https://icodrops.com/media/cache/e6/95/e695eb8f5ed2a5929307248d6fcff7bd.webp","https://icodrops.com/obol-network/","Retrodrop","$6.15 M","—","Network","Active","","Delphi Digital (Delphi Labs)","Alliance","Coinbase Ventures","More Details","","","",""
"Zapper","ZAP","https://icodrops.com/media/cache/67/38/673857fa9e0f4fb856d8dce8224fb2d4.webp","https://icodrops.com/zapper/","Retrodrop","$16.5 M","—","Blockchain Service","Active","","Framework Ventures","Mark Cuban","MetaCartel Ventures","More Details","","","",""
"Argent","","https://icodrops.com/media/cache/a8/cc/a8cc3778f9ac7d85a6157c94516aa6ad.webp","https://icodrops.com/argent/","Retrodrop","$56 M","—","Wallet","Active","","Paradigm","Fabric Ventures","Jump Capital","More Details","","","",""
"ZetaChain","ZETA","https://icodrops.com/media/cache/e6/87/e687dd3c204dc5652596ba73d10b5173.webp","https://icodrops.com/zetachain/","Airdrop","$27 M","$104.6 M","Blockchain","Active","","Blockchain.com Ventures","CMT Digital","Jane Street Capital","More Details","Ethereum","","",""
"DegenScore","","https://icodrops.com/media/cache/1c/54/1c54c2df5b0b589a54b0ef303243e207.webp","https://icodrops.com/degenscore_/","Airdrop for NFT Holders","—","—","Platform","Active","","","","","","","","",""
"Zerion","","https://icodrops.com/media/cache/96/18/9618ff73fc4664b316b6a00eb72d8f52.webp","https://icodrops.com/zerion/","Possible Retrodrop","$22.5 M","—","Wallet","Active","","Alliance","BitScale Capital","Coinbase Ventures","More Details","","","",""
"Debank","","https://icodrops.com/media/cache/a7/2e/a72e347a72efde06055362e3c9a5f0e8.webp","https://icodrops.com/debank/","Points Farming","$25 M","—","Blockchain Service","Active","","HongShan (ex-Sequoia China)","Coinbase Ventures","Crypto.com","More Details","Ethereum","Polygon (ex-Matic Network)","",""
"Aleo","ALEO","https://icodrops.com/media/cache/74/91/7491fce8c964b6d320f2f68d0afff82a.webp","https://icodrops.com/aleo/","Airdrop","$298 M","$125.47 M","Zero Knowledge","Active","","Andreessen Horowitz (a16z)","Balaji Srinivasan","Polychain Capital","More Details","","","",""
"Orbiter Finance","OBT","https://icodrops.com/media/cache/d3/9e/d39e332ae7a0d16b1abf90ad17d517c4.webp","https://icodrops.com/orbiter-finance/","Retrodrop","—","$12.65 M","Infrastructure","Active","","Amber Group","Lemniscap","OKX Ventures","More Details","","","",""
"Thetanuts Finance","NUTS","https://icodrops.com/media/cache/cf/f6/cff63a878d832a050381e738e84df673.webp","https://icodrops.com/thetanuts-finance/","Airdrop","$35 M","—","Protocol","Active","","Polychain Capital","Crypto.com","Jump Capital","More Details","","","",""
"KiloEx","","https://icodrops.com/media/cache/61/55/6155b4ef5e801dd54ebfc3c9a7323f41.webp","https://icodrops.com/kiloex/","Points Farming","$750 K","$7.01 M","DEX","Active","","YZi Labs (prev Binance Labs)","7UpDAO","Foresight Ventures","More Details","Binance coin","","",""
"Kinza","KZA","https://icodrops.com/media/cache/ef/b2/efb2c260159055217513ed82ec8ff70d.webp","https://icodrops.com/kinza/","Airdrop","—","—","DeFi","Active","","YZi Labs (prev Binance Labs)","GTS Ventures","","","","","",""
